zip,province,building_type,bedroom,construction_Year,price,heating_type,land_surface
2940,Antwerp,HOUSE,3,1955,250000,ELECTRIC,340
2070,Antwerp,HOUSE,3,1955,389000,GAS,256
2910,Antwerp,HOUSE,3,1947,285000,GAS,427
2950,Antwerp,HOUSE,5,1950,299000,GAS,140
2300,Antwerp,HOUSE,3,2022,421400,GAS,324
2440,Antwerp,HOUSE,6,1965,425000,GAS,395
2070,Antwerp,HOUSE,4,1961,608000,GAS,258
2950,Antwerp,HOUSE,3,2022,425000,GAS,181
2450,Antwerp,HOUSE,3,2022,295000,GAS,162
2850,Antwerp,HOUSE,4,1982,399000,GAS,451
2260,Antwerp,HOUSE,4,1992,668000,FUELOIL,1530
2260,Antwerp,HOUSE,4,1961,349000,FUELOIL,830
2300,Antwerp,HOUSE,3,1800,349000,GAS,165
2880,Antwerp,HOUSE,4,1971,398000,GAS,581
2300,Antwerp,HOUSE,3,2022,422450,GAS,327
2460,Antwerp,HOUSE,3,2005,635000,GAS,757
2450,Antwerp,HOUSE,3,2022,322000,GAS,270
2450,Antwerp,HOUSE,3,2022,327000,GAS,387
2640,Antwerp,HOUSE,3,1957,445000,FUELOIL,471
2260,Antwerp,HOUSE,4,2000,429000,FUELOIL,765
2930,Antwerp,HOUSE,4,1951,699000,GAS,532
2940,Antwerp,HOUSE,3,1973,399000,ELECTRIC,640
2850,Antwerp,HOUSE,4,1890,549000,GAS,316
2950,Antwerp,HOUSE,3,2022,425000,GAS,176
2550,Antwerp,HOUSE,3,1965,299500,GAS,202
2970,Antwerp,HOUSE,5,1974,725000,GAS,792
2920,Antwerp,HOUSE,4,1973,749000,FUELOIL,10000
2930,Antwerp,HOUSE,5,2005,2450000,GAS,3224
2060,Antwerp,HOUSE,5,1985,365000,GAS,60
2560,Antwerp,HOUSE,3,1971,480000,GAS,642
2100,Antwerp,HOUSE,6,1966,590000,GAS,239
2900,Antwerp,HOUSE,4,1966,380000,FUELOIL,280
2300,Antwerp,HOUSE,3,2022,422800,GAS,332
2170,Antwerp,HOUSE,5,1938,449000,GAS,273
2560,Antwerp,HOUSE,3,2022,499000,GAS,1000
2830,Antwerp,HOUSE,3,1951,335000,GAS,425
2600,Antwerp,HOUSE,4,1952,549000,GAS,203
2800,Antwerp,HOUSE,2,1950,495000,GAS,103
2980,Antwerp,HOUSE,5,1787,4450000,GAS,148400
2320,Antwerp,HOUSE,5,2007,498000,GAS,387
2430,Antwerp,HOUSE,2,1970,235000,FUELOIL,898
2230,Antwerp,HOUSE,5,1950,280000,FUELOIL,815
2610,Antwerp,HOUSE,5,1959,3150000,GAS,1508
2950,Antwerp,HOUSE,3,2022,425000,GAS,186
2200,Antwerp,HOUSE,3,1964,265000,GAS,800
2280,Antwerp,HOUSE,3,2022,345374,GAS,373
2180,Antwerp,HOUSE,3,1968,325000,GAS,240
2300,Antwerp,HOUSE,3,2022,422800,GAS,328
2430,Antwerp,HOUSE,2,1959,239000,GAS,300
2660,Antwerp,HOUSE,3,1974,450000,GAS,204
2950,Antwerp,HOUSE,5,1955,385000,GAS,270
2800,Antwerp,HOUSE,2,1875,227000,GAS,75
2300,Antwerp,HOUSE,3,1965,399000,GAS,800
2980,Antwerp,HOUSE,4,2006,875000,GAS,2338
2070,Antwerp,HOUSE,4,1963,369000,FUELOIL,269
2627,Antwerp,HOUSE,2,1929,319000,GAS,197
2000,Antwerp,HOUSE,4,1907,1500000,GAS,71
2140,Antwerp,HOUSE,3,1926,265000,GAS,85
2530,Antwerp,HOUSE,3,1975,540000,GAS,1000
2018,Antwerp,HOUSE,8,1912,2575000,GAS,399
2830,Antwerp,HOUSE,3,1899,259000,GAS,80
2330,Antwerp,HOUSE,4,2006,1250000,GAS,1798
2020,Antwerp,HOUSE,3,1971,365000,GAS,106
2520,Antwerp,HOUSE,3,1971,990000,FUELOIL,3499
2800,Antwerp,HOUSE,2,1931,325000,GAS,291
2930,Antwerp,HOUSE,7,1976,1650000,GAS,4712
2060,Antwerp,HOUSE,2,1950,199000,GAS,103
2900,Antwerp,HOUSE,3,1972,575000,GAS,968
2070,Antwerp,HOUSE,3,1962,289000,GAS,186
2800,Antwerp,HOUSE,2,1932,349000,GAS,106
2940,Antwerp,HOUSE,3,1936,314000,GAS,315
2490,Antwerp,HOUSE,4,2006,545000,GAS,2913
2220,Antwerp,HOUSE,3,1969,224000,GAS,240
2070,Antwerp,HOUSE,2,1930,245000,GAS,312
2830,Antwerp,HOUSE,4,1923,547000,GAS,851
2060,Antwerp,HOUSE,6,1930,449000,GAS,245
2800,Antwerp,HOUSE,3,2022,470000,GAS,108
2070,Antwerp,HOUSE,4,1981,379000,GAS,270
2328,Antwerp,HOUSE,3,1986,489000,GAS,774
2900,Antwerp,HOUSE,4,1960,389000,GAS,656
2200,Antwerp,HOUSE,5,1986,385000,GAS,507
2230,Antwerp,HOUSE,3,2014,460000,GAS,549
2360,Antwerp,HOUSE,4,1971,282000,GAS,235
2900,Antwerp,HOUSE,5,1973,1075000,GAS,2115
2170,Antwerp,HOUSE,3,1955,205000,ELECTRIC,100
2980,Antwerp,HOUSE,4,2006,1029000,GAS,1181
2140,Antwerp,HOUSE,5,1923,387000,GAS,120
2900,Antwerp,HOUSE,5,1978,2450000,FUELOIL,8100
2640,Antwerp,HOUSE,4,1960,600000,GAS,700
2860,Antwerp,HOUSE,2,1950,435000,GAS,769
2340,Antwerp,HOUSE,3,2001,525000,GAS,740
2240,Antwerp,HOUSE,5,1812,2975000,FUELOIL,27000
2520,Antwerp,HOUSE,3,1964,495000,GAS,713
2920,Antwerp,HOUSE,4,1973,784000,FUELOIL,10000
2890,Antwerp,HOUSE,3,1974,449000,FUELOIL,1663
2970,Antwerp,HOUSE,5,1974,995000,GAS,1548
2930,Antwerp,HOUSE,7,1994,1050000,GAS,1405
2491,Antwerp,HOUSE,3,1948,250000,FUELOIL,1623
2480,Antwerp,HOUSE,4,1994,385000,GAS,522
2940,Antwerp,HOUSE,5,1982,1250000,ELECTRIC,4500
2170,Antwerp,HOUSE,3,1930,299000,GAS,115
2540,Antwerp,HOUSE,3,1993,770000,GAS,1300
2820,Antwerp,HOUSE,2,1956,240000,GAS,87
2620,Antwerp,HOUSE,3,1975,359000,GAS,258
2310,Antwerp,HOUSE,4,1987,609000,ELECTRIC,1395
2920,Antwerp,HOUSE,4,1973,649000,FUELOIL,5000
2450,Antwerp,HOUSE,3,2022,319000,GAS,252
2450,Antwerp,HOUSE,3,2022,318000,GAS,270
2000,Antwerp,HOUSE,8,1907,3100000,GAS,145
2170,Antwerp,HOUSE,8,1919,595000,GAS,124
2660,Antwerp,HOUSE,3,1967,385000,GAS,304
2300,Antwerp,HOUSE,3,1905,329000,GAS,197
2470,Antwerp,HOUSE,3,1960,415000,GAS,493
2830,Antwerp,HOUSE,4,1977,415000,GAS,405
2400,Antwerp,HOUSE,3,2021,398000,GAS,504
2300,Antwerp,HOUSE,3,2022,422100,GAS,330
2221,Antwerp,HOUSE,1,2002,384000,FUELOIL,722
2630,Antwerp,HOUSE,3,1954,445000,FUELOIL,970
2900,Antwerp,HOUSE,4,1952,519900,FUELOIL,263
2020,Antwerp,HOUSE,5,1980,745000,GAS,455
2812,Antwerp,HOUSE,3,1952,385000,GAS,216
